code;name;address;lat;lng
02010202;"Przedsiębiorstwo Produkcyjno - Handlowo - Usługowe Ad - Pol Adolf Szweda; Dorota Szweda Spółka Jawna";59-700 Bolesławiec Nowa Wieś 37;51.33445445;15.6113726415065
02013901;Ubojnia Brojlex Spółka Jawna w Iwinach Józef Kindzierski, Wioletta Suwald;59-720 Raciborowice Górne, Iwiny 36D;51.2189;15.7155
02015901;Mirosław Weber Ferma Drobiu;59-706 Gromadka, Nowa Kuźnia  76c;51.39976;15.827953
02020302;Zakład Przetwórstwa Mięsnego Jerzy Gawrycki;58-260 Bielawa ul. Wincentego Witosa 3;50.692029;16.6320402
02031603;Reha Poland Sp. z o.o.;67-231 Żukowice, Brzeg Głogowski  5;51.6919212;15.918040367721236
02041601;CIECHANOWSKASPÓŁDZIELNIA MLECZARSKA- DEMI PRODUKCJA;56-200 Góra ul. Poznańska 18;51.67279565;16.537419697786724
02041654;"PRZEDSIĘBIORSTWO PRODUKCYJNO- HANDLOWO-USŁUGOWE ""A-LIMA -BIS"" SPÓŁKA  Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ.";56-200 Góra ul. Poznańska 18;51.67279565;16.537419697786724
02043801;OSI POLAND FOODWORKS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;56-200 Góra, Chróścina  3a;51.7467765;16.5241289
02045902;"""Michałowe Jaja"" Rafał Maik";56-200 Góra, Jastrzębia  28;51.67503925;16.482806453771786
02045903;"""Witomar"" Marzena Ciastoń";56-200 Góra, Witoszyce  3b;51.7435641;16.52165545714103
02050301;Masarnia KŁACZYNA Radosław Daszkiewicz;59-420 Bolków, Sady Dolne  11 B;50.9034748;16.1726984
02053602;Zakład Mięsny Spółka z o.o., Masarnia w Męcince;59-424 Męcinka 117;51.073219;16.0910579
02053801;Gospodarstwo Rolno - Hodowlane Ubojnia Owiec;59-420 Bolków, Kaczorów  ul. Okrajnik 1;50.9234542;15.9411542
02053902;Ubojnia Drobiu FRANEK Spółka z ograniczoną odpowiedzialnością spółka komandytowa;59-407 Mściwojów, Targoszyn  79 H;51.043633;16.307951
02055903;Rolnicza Spółdzielnia Produkcyjna Przyszłość Stare Bogaczowice;59-420 Bolków, Sady Górne  43;50.873404550000004;16.16144613345588
02060202;"PEKROL K.Zemankiewicz; M. Cichocki Sp.J.";58-508 Jelenia Góra Siedlęcin ul. 58-508 Jel  Lwówecka 2;;
02060202;PEKROL K.Zemankiewicz, M. Cichocki Sp.J.;58-508 Jelenia Góra, Siedlęcin  ul. Lwówecka 2;;
02061603;"Golddom Daniel Sokołowski; Kozia Łąka";58-508 Jelenia Góra Łomnica ul. Lipowa 3;50.8743489;15.78052805
02061604;Łomnicka Hala Mleczna;58-508 Jelenia Góra, Łomnica  ul. Karkonoska 113b;50.8631009;15.7939625
02065901;Rolnicza Spółdzielnia Produkcyjna;58-512 Stara Kamienica 69b;50.91953;15.5705
02065903;Specjalistyczne Gospodarstwo Rolne Ferma Drobiu Józef Bystroń;58-535 Miłków, Głębock  5;;
02065908;Gospodarstwo Rolne Piotr Kijanka;58-512 Stara Kamienica Kromnów 41B;50.89487;15.58024
02071201;CDS Polska Sp. z o. o.;58-400 Kamienna Góra ul. Mikołaja Reja 3;50.77360095;16.04227140444009
02071203;Nutmar Spółka z o.o. Sp. K.;58-410 Marciszów Sędzisław 135;50.8232591;16.06561415193476
02071204;WMC PRODUCTS Spółka z o. o.;58-400 Kamienna Góra ul. Cegielniana 5f;50.773552800000004;16.041064045649794
02071205;Pro Casings Sp. z o. o.;58-410 Marciszów, Sędzisław  135;50.8232591;16.06561415193476
02071601;Spółdzielnia Mleczarska KAMOS w Kamiennej Górze;58-400 Kamienna Góra ul. Towarowa 41;50.7850708;16.0207512
02071801;Zakład Przetwórstwa Mięsno - Rybnego Kari Wiesław Pluta;58-410 Marciszów ul. Piekarska 1;50.854622250000006;16.00697490945099
02074001;KMC FOOD Sp. z o.o.;58-410 Marciszów ul. Włókiennicza 3;50.85295155;16.0025488587779
02080101;Piotr Caryk Zdrowiej-my;57-441 Święcko 12a/12b;50.4978858;16.585929
02080201;UBÓJ I PRZETWÓRSTWO MIĘSA Władysław Fugowski;57-350 Kudowa Zdrój ul. Kościuszki 83;50.4569699;16.2514971829524
02080701;KNIEJA, HANDEL DZICZYZNĄ Marta Czapnik;57-550 Stronie Śląskie 6a;50.288629099999994;16.864331849999992
02081601;"PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWO-USŁUGOWE ""KRZYŚ"" Piętoń Aleksander";57-500 Bystrzyca Kłodzka, Wilkanów  32;50.2508459;16.6866414
02081601;P.P.H.U. Krzyś;57-500 Bystrzyca Kłodzka Wilkanów 32;;
02081602;Czesław Kozak i Spółka Punkt Pasteryzacji Mleka S.J.;57-441 Bożków 280;50.5216505;16.59549690353467
02081801;JAN AUGUSTYNIK FISCHLAND;57-540 Lądek Zdrój, Trzebieszowice  12;50.3331977;16.8062685
02081802;DORAL SP. J. PIOTR CHMIELEWSKI, ROBERT KALINOWSKI, JERZY SIERAKOWSKI;57-300 Kłodzko ul. Półwiejska 8;50.45607;16.65268
02083801;Skup i Ubój Zwierząt Rzeźnych Punkt Sprzedaży Mięsa z Uboju Tadeusz Wielgus;57-410 Ścinawka Górna 10;50.52911785;16.480949500084417
02085901;Działy specjalne produkcji rolnej Grażyna Szydlak;57-522 Domaszków ul. Międzyleska 1;50.22043825;16.682191866979913
02091801;Spółka Rybacka NIEDŹWIEDZICE;59-225 Chojnów, Goliszów  94a;51.2809523;15.9838214
02093902;Ubojnia Drobiu Michał Chomiak;59-230 Prochowice Lisowice 75;51.2886182;16.3590524872208
02093903;Ubojnia Drobiu GALLUS Sumicki Spółka Jawna;59-230 Prochowice, Kawice  85;51.2308656;16.42520792561814
02093904;Ubojnia Drobiu Anna Żuk;59-230 Prochowice Lisowice 126;51.28754595;16.3399625
02093906;Ubojnia Drobiu Bożena Słowikowska - Pluta;59-230 Prochowice, Kwiatkowice  2;51.27186475;16.411510698656468
02093907;Ubojnia Drobiu ALDRÓB Alicja Świątkowska;59-230 Prochowice, Lisowice  123;51.28460275;16.33538443455118
02094004;BESTKEBAB Sp. z o.o.;59-230 Prochowice, Lisowice  126 a;51.2865318;16.337140102164653
02095901;Ferma Drobiu Maćków Joanna Małecka;59-230 Prochowice, Lisowice  43B;51.2876896;16.348246755207892
02095902;Gospodarstwo Rolno - Hodowlane Grzegorz Rudziak;59-225 Chojnów, Budziwojów  4a;51.23382865000001;15.944003882116753
02105401;Muller Dairy Polska Sp. z o.o. Biuro w Lubaniu;59-800 Lubań ul. Ratuszowa 24/2;51.1208904;15.287777=
