code;name;address;lat;lng
SI 1288;A La Luigi D.O.O.;Črtomirova Ulica 11, 2000 Maribor;46.5552198;15.6355026
SI 1405;Kgz Slov. Konjice;Gabrovlje 20, 3214 Zreče;46.40476674610527;15.374549859157897
SI H-759;Intereuropa D.D.;Tržaška Cesta 43A, 2000 Maribor;46.5271982;15.652215999999965
SI 1116;Magdič Pavlič Olga;Spodnji Trg 42, 2344 Lovrenc Na Pohorju;46.5424063;15.392408
SI 1274;G2O D.O.O.;Sv. Florijan 126, 3250 Rogaška Slatina;46.2603863;15.6751346
SI 892;Globočnik Aleš;Letališka Ulica 7, 4208 Šenčur;46.2149864;14.4386741
SI M-1396;Šengar D.O.O.;Britof 27, 4000 Kranj;46.2593083;14.3864062
SI M-1321;Andrej Kokalj - Nosilec Dopolnilne;Zgornja Luša 3, 4227 Selca;46.19910609130435;14.20772995652174
SI 884;Krapec Raj Monika;Gornja Bistrica 165, 9232 Črenšovci;46.556379050000004;16.27019894160778
SI 925;Mihael Tušek - Nosilec Dopolnilne;Sv. Lenart 71, 4227 Selca;46.19910609130435;14.20772995652174
SI H-426;Mercator D.O.O.;Bohova 8, 2311 Hoče;46.510251749999995;15.655000649551848
SI 1399;Janez Novak - Nosilec Dopolnilne;Prebačevo 31, 4000 Kranj;46.2118699;14.3966396
SI 870;Viljem Kobe - Nosilec Dopolnilne;Učakovci 29, 8344 Vinica;45.4424604;15.2285743
SI 932;Univerza V Ljubljani;Groblje 3, 1230 Domžale;46.149377;14.58982427025701
SI 294;Jata Emona;Sneberska Cesta 111, 1260 Ljubljana - Polje;46.07608535;14.583155999999999
SI 1175;Repič David;Osek 76, 2235 Sv. Trojica V Slov. Goricah;46.5807506;15.9080448
SI M-1211;Nevo Pregelj - Nosilec Dopolnilne;Mohorini 2, 5292 Renče;45.8797898;13.685689019892255
SI H-1300;Transport Franc Soršak D.O.O.;Trnovec Pri Slovenski Bistrici 12, 2310 Slovenska Bistrica;46.39177719710145;15.56248448720857
SI H-1006;Deportivo D.O.O.;Trgovska Ulica 11, 2310 Slovenska Bistrica;46.38613575;15.574656020573869
SI 1303;Anja Drozg - Nosilka Dopolnilne;Pristava Pri Mestinju 44, 3253 Pristava Pri Mestinju;46.1955615;15.5958894
SI M-814;Olmis Branko Šentak S.P.;Orehovec 11, 3264 Sveti Štefan;46.179058999999995;15.527666049999999
SI H-1257;Frigotransport Pišek&Hsf D.O.O.;Lopata 53, 3000 Celje;46.2637149;15.2313055
SI 174;Mesarstvo Poznič D.O.O.;Partizanska Cesta 54, 3320 Velenje;46.3587152;15.1077016
SI H-606;Vigros D.O.O.;Puconci 10, 9201 Puconci;46.7097174;16.15020395677871
SI M-708;Demšar Judita;Cerkljanski Vrh 24, 5282 Cerkno;46.11467233719008;13.968410918698346
SI M-967;Gorički Raj;Ratkovci 20A, 9207 Prosenjakovci - Pártosfalva;46.754165549999996;16.2629888590831
SI 1394;Jože Globevnik - Nosilec Dopolnilne;Škocjan 5, 8275 Škocjan;45.9070918;15.292439349999999
SI 1346;Zvonko Babič - Nosilec Dopolnilne;Župečja Vas 44, 2324 Lovrenc Na Dravskem Polju;46.3746363;15.7730965
SI 1027;Panvita;Cesta Jaka Platiše 2, 4000 Kranj;46.236508;14.3696404
SI 1184;Mesko D.O.O.;Moste 18, 1218 Komenda;46.194660999999996;14.549647251731177
SI 1136;Stanko Simonič S.P.;Drašiči 56, 8330 Metlika;45.662957250000005;15.37315315643827
SI M-236;Silverij Fabjan - Dopolnilna Dejavnost;Bate 5, 5251 Grgar;46.0449705;13.676764
SI 963;Dušan Cvitkovič;Velika Lahinja 4, 8340 Črnomelj;45.5363357;15.205126
SI 18;Loške Mesnine D.O.O.;Studenec 3, 4220 Škofja Loka;46.1657852;14.3092809
SI 1052;Valerija Lampret S.P.;Zgornja Sveča 17B, 2289 Stoperce;46.31024135;15.71999621501665
SI 1340;Judita Klemenšek;Logarska Dolina 29, 3335 Solčava;46.4254941;14.6360394
SI 879;Gregor Franc;Petanjci 116, 9251 Tišina;46.65098675;16.0539737
SI H-1362;Hofer Trgovina D.O.O.;Ulica Ob Hrastih 10, 1291 Škofljica;45.981383;14.5734146
SI 711;Panvita;Ljutomerska Cesta 28B, 9250 Gornja Radgona;46.6713037;15.9949619
SI 910;Suzana Lah S.P.;Mladinska Ulica 19, 2314 Zgornja Polskava;46.42805735;15.609452887548013
SI 281;Mesarstvo Valenko;Dornava 32A, 2252 Dornava;46.436232;15.9514467
SI 1156;Prosub D.O.O.;Liminjan 5B, 6320 Portorož;45.5080969;13.6187886
SI M-1382;Jana Krč - Nosilka Dopolnilne;Visoko 71, 4212 Visoko;46.2690292;14.4260075
SI 1031;Beci Božidar;Razbor 44, 1434 Loka Pri Zidanem Mostu;46.05958405;15.238458121457608
SI 454;Pohorske Mesnine D.O.O.;Hotinjska Cesta 19, 2312 Orehova Vas;46.4669099;15.6700522
SI 66;Viteo;Gradišče 2, 2310 Slovenska Bistrica;46.392569249999994;15.57405495218135
SI 33;Košaki Tmi D.O.O.;Oreško Nabrežje 1, 2000 Maribor;46.5563896;15.6614562
SI 1157;Intermac D.O.O.;Mednarodni Prehod 8, 5290 Šempeter Pri Gorici;45.917545450000006;13.622022800937513
SI 1107;Silva Mrčun S.P.;Topole 10A, 1234 Mengeš;46.1777346;14.5571396
SI 32;Gozdič;Zgornja Pristava 17, 3210 Slovenske Konjice;46.34148935;15.405167810980831
SI 947;Martin Metelko S.P.;Hudo Brezje 16, 8293 Studenec;45.975701613178295;15.335268592248061
SI M-59;Kmetija Pustotnik D.O.O.;Poljanska Cesta 19, 4224 Gorenja Vas;46.107747;14.148615
SI 1348;Ivan Nagode - Kmetija Urbanovc;Ravnik Pri Hotedršici 12, 1372 Hotedršica;45.91290175;14.165949304016717
SI 1095;Franc Ozmec;Cvetkovci 46, 2273 Podgorci;46.4153403;16.0743512
SI 917;Hrvatič Franc  S.P.;Mala Pristava 20, 6257 Pivka;45.673315286235955;14.204739184269664
SI 1092;Andreja Milavec S.P.;Planina 41, 6232 Planina;45.8347527;14.257287
SI 768;Domen Puževci D.O.O.;Puževci 43A, 9265 Bodonci;46.70381595;16.080966152643533
SI 895;Lukman Franc;Lačaves 10, 2276 Kog;46.4525495;16.244034017502326
SI 1179;Decarnis D.O.O.;Vipavska Cesta 12, 5000 Nova Gorica;45.9417486;13.639336918726237
SI 224;Eta Kamnik;Kajuhova Pot 4, 1241 Kamnik;46.2200185;14.6066947
SI 1269;Malik Jernej;Gradišče Pri Vipavi 22A, 5271 Vipava;45.8336578;13.967736685512147
SI 982;Klavnica Gliha D.O.O.;Stranska Pot 3, 4208 Šenčur;46.2423105;14.4173774
SI 1193;Rok Rijavec - Nosilec Dopolnilne;Mozelj 2, 1330 Kočevje;45.64422105304136;14.87010648734793
SI 914;Andrej Budin S.P.;Bilje 30C, 5292 Renče;45.891901649999994;13.624486085512354
SI H-1167;Nimrod D.O.O.;Ulica Lavžnik 13, 5290 Šempeter Pri Gorici;45.9220622;13.646594115742342
SI 301;Mesarija Kepic D.O.O.;Krvavška Cesta 14, 4207 Cerklje Na Gorenjskem;46.2546585;14.4875585
SI M-773;Ostan David;Trg Golobarskih Žrtev 54, 5230 Bovec;46.3376314;13.5512307
SI 940;Pršina Aleš;Gregorčeva Ulica 5, 8350 Dolenjske Toplice;45.7587089;15.0609974
SI 1292;Gaberšek Albina;Selski Vrh 19, 3215 Loče;46.314564588636365;15.486820878125
SI 1298;Loške Mesnine D.O.O.;Kidričeva Cesta 63A, 4220 Škofja Loka;46.17346665;14.334213101406608
SI 1089;Klinec Uroš;Medana 19, 5212 Dobrovo V Brdih;45.9961201;13.5275807
SI 78;Koroške Mesnine;Mariborska Cesta 10, 2370 Dravograd;46.5908185;15.0285027
SI 854;Kmetija Stubelj Roman In Mirjam;Spodnja Branica 15, 5295 Branik;45.86003311007371;13.786749805651105
SI H-822;Engrotuš D.O.O.;Cesta V Trnovlje 10A, 3000 Celje;46.2436634;15.2807223
SI 1283;Zlata Dolina D.O.O.;Dobrnež 5B, 3210 Slovenske Konjice;46.3439444;15.4460703
SI 166;Promes D.O.O. Lavrica;Šeparjeva Pot 8, 1291 Škofljica;45.99659135;14.559903370163685
SI 1153;Krhin Urška - Tk Pr Martinovh - Krhin;Gorenje Gradišče Pri Šentj. 7, 8310 Šentjernej;45.83594979084507;15.338145886619717
SI 1377;Zajc Ivan;Starše 25, 2205 Starše;46.4757998;15.7626673
SI 1402;Gorjanc Borut;Orehek 62, 6258 Prestranek;45.751230250000006;14.150550281627709
SI M-1251;Milan Obrul;Koritno 28, 2317 Oplotnica;46.4076232;15.4288233
SI 571;Mesarija Skodič;Ljubljanska Cesta 60, 2327 Rače;46.4522278;15.6676403
SI 1218;Vrabelj Natalija;Mota 20, 9240 Ljutomer;46.5481426;16.224731937870366
SI 516;Mesarstvo Rešet D.O.O.;Huje 9, 4000 Kranj;46.24082025;14.360705102496588
SI M-1209;Boštjan Vreže - Nosilec Dopolnilne;Vodenovo 3, 3240 Šmarje Pri Jelšah;46.2489149;15.4970681
SI 991;Šoštarič Srečko;Slomi 12A, 2257 Polenšak;46.4529983;15.9938118
SI H-797;Btc D.D.;Letališka Cesta 16, 1000 Ljubljana;46.061919;14.5722219
SI 1150;Mesnine Korošak - Marko Korošak;Grlava 7, 9242 Križevci Pri Ljutomeru;46.5621443;16.17087934489183
SI 1058;Kranjske Mesnine D.O.O.;Breznica 1B, 4274 Žirovnica;46.3960376;14.152241339415475
